SQLDATE,YEAR,MonthYear,Actor1Name,Actor1Type1Code,Actor2Name,Actor2Type1Code,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,SOURCEURL
20250103,2025,202501,CONGRESS,LEG,,,91,91,9,2,-2.0,3,1,3,-2.7710843373494,1,Benin,BN,BN,9.5,2.25,https://hallmarknews.com/osun-2026-timi-of-ede-opinion-moulders-urged-to-call-gov-adelekes-cos-to-order-over-provoking-utterances/
20250103,2025,202501,MINIST,GOV,,,10,10,1,1,0.0,10,1,10,-2.54545454545454,1,Benin,BN,BN,9.5,2.25,https://lanouvelletribune.info/2025/01/face-aux-tensions-le-benin-propose-une-cooperation-militaire-avec-le-niger/
20250103,2025,202501,BENIN,,,,20,20,2,1,3.0,10,1,10,-7.02479338842975,1,Benin,BN,BN,9.5,2.25,https://fr.apanews.net/news/benin-nouvelles-mesures-pour-lutter-contre-le-terrorisme/
20250103,2025,202501,BENIN,,,,71,71,7,2,7.4,10,1,10,-7.02479338842975,1,Benin,BN,BN,9.5,2.25,https://fr.apanews.net/news/benin-nouvelles-mesures-pour-lutter-contre-le-terrorisme/
20250103,2025,202501,BENIN,GOV,,,71,71,7,2,7.4,10,1,10,-7.02479338842975,1,Benin,BN,BN,9.5,2.25,https://fr.apanews.net/news/benin-nouvelles-mesures-pour-lutter-contre-le-terrorisme/
20250103,2025,202501,BENIN,,,,10,10,1,1,0.0,10,1,10,-4.89251297257228,1,Benin,BN,BN,9.5,2.25,http://www.bjreview.com/Opinion/Voice/202501/t20250102_800388739.html
20250103,2025,202501,BENIN,,,,110,110,11,3,-2.0,10,1,10,-4.89251297257228,1,Benin,BN,BN,9.5,2.25,http://www.bjreview.com/Opinion/Voice/202501/t20250102_800388739.html
20250103,2025,202501,,,BENIN,,80,80,8,2,5.0,4,1,4,3.52941176470588,1,Benin,BN,BN,9.5,2.25,https://www.thecable.ng/icymi-ghana-approves-visa-free-entry-for-all-africans/
20250103,2025,202501,,,COMPANY,BUS,51,51,5,1,3.4,10,1,10,6.72043010752688,1,Benin,BN,BN,9.5,2.25,https://lanouvelletribune.info/2025/01/festival-ikpade-fridaousse-iffabi-revele-la-culture-de-bassila-avec-laide-de-mtn-benin/
20250103,2025,202501,,,COMPANY,BUS,141,141,14,3,-6.5,10,1,10,6.72043010752688,1,Benin,BN,BN,9.5,2.25,https://lanouvelletribune.info/2025/01/festival-ikpade-fridaousse-iffabi-revele-la-culture-de-bassila-avec-laide-de-mtn-benin/
20250103,2025,202501,AFRICA,,BENIN,,42,42,4,1,1.9,2,1,2,0.61295971978984,1,Benin,BN,BN,9.5,2.25,https://www.theskanner.com/news/usa/36625-come-home-ghana-told-the-african-diaspora-now-some-black-americans-take-its-citizenship
20250103,2025,202501,GHANA,,AFRICA,,10,10,1,1,0.0,3,1,3,-1.66666666666666,1,Benin,BN,BN,9.5,2.25,https://www.semissourian.com/world/come-home-ghana-told-the-african-diaspora-now-some-black-americans-take-its-citizenship-f0558892
